HOUR,NS
2875,1231.19
2876,1239.87
2877,1209.66
2878,1137.56
2879,1061.59
2880,1051.5
2881,1025.9
2882,982.3
2883,961.5
2884,966.3
2885,1021.1
2886,1086.5
2887,1180.7
2888,1212.8
2889,1208.8
2890,1190.2
2891,1192.4
2892,1181.3
2893,1165.1
2894,1140.8
2895,1149.5
2896,1188.6
2897,1220.2
2898,1209.4
2899,1218.2
2900,1241.3
2901,1231.4
2902,1159.9
2903,1173.4
2904,1131.6
2905,1086.7
2906,1056.7
2907,1060.6
2908,1085.9
2909,1123.4
2910,1208.6
2911,1308.9
2912,1322.4
2913,1314.2
2914,1267.8
2915,1226.3
2916,1199.5
2917,1210.3
2918,1163.1
2919,1150.3
2920,1124.4
2921,1139.9
2922,1160.3
2923,1164.6
2924,1165.6
2925,1161.8
2926,1090
2927,1040.5
2928,980
2929,949.1
2930,946.1
2931,945.8
2932,967.9
2933,980.5
2934,1043
2935,1160.7
2936,1209.2
2937,1218.6
2938,1215.9
2939,1223.3
2940,1220.2
2941,1218.9
2942,1208.9
2943,1208
2944,1221.5
2945,1193.6
2946,1202.1
2947,1188.5
2948,1206.7
2949,1166.7
2950,1126.7
2951,1103.8
2952,1117.2
2953,1095.2
2954,1080.6
2955,1053.1
2956,1062
2957,1107.9
2958,1123.7
2959,1240.3
2960,1293.9
2961,1300.9
2962,1279.8
2963,1266
2964,1253.9
2965,1225.1
2966,1206.8
2967,1211.4
2968,1235.4
2969,1287.1
2970,1264.5
2971,1260.8
2972,1288.3
2973,1277.2
2974,1223.5
2975,1167.9
2976,1119.4
2977,1070.1
2978,1037.9
2979,1023.7
2980,1018.6
2981,1035
2982,1064.4
2983,1137.8
2984,1215.1
2985,1253.7
2986,1262.7
2987,1251.3
2988,1213.6
2989,1170.6
2990,1137.2
2991,1049.5
2992,1052.4
2993,1063.4
2994,1032.6
2995,1028.1
2996,1055.2
2997,1098
2998,1090.9
2999,1031
3000,979.5
3001,952
3002,939.9
3003,927.8
3004,943.7
3005,970.5
3006,923.5
3007,976.3
3008,1039.9
3009,1108.4
3010,1112.9
3011,1111.9
3012,1155.1
3013,1149
3014,1127.8
3015,1131.6
3016,1170.8
3017,1155.4
3018,1144.4
3019,1146.4
3020,1174.9
3021,1205.1
3022,1114.3
3023,1036
3024,956.9
3025,921
3026,917.3
3027,924.4
3028,956
3029,997.3
3030,1111.6
3031,1164
3032,1214.9
3033,1223.5
3034,1221.6
3035,1182.6
3036,1207
3037,1194.8
3038,1176.9
3039,1172.7
3040,1185.3
3041,1198.3
3042,1153.2
3043,1154.6
3044,1228.1
3045,1234.6
3046,1170.3
3047,1126.7
3048,1090.3
3049,1067.3
3050,1043.1
3051,1041.4
3052,1056.5
3053,1077
3054,1164.3
3055,1229.6
3056,1192.7
3057,1156.9
3058,1129.6
3059,1115.9
3060,1100.9
3061,1094.9
3062,1082.7
3063,1088.8
3064,1115.6
3065,1120.4
3066,1094.9
3067,1099.7
3068,1127
3069,1122.5
3070,1087.9
3071,1049.4
3072,1039.2
3073,1004.8
3074,987.1
3075,999.3
3076,1024.3
3077,1043.7
3078,1072.2
3079,1188.1
3080,1148.7
3081,1128
3082,1110.3
3083,1086.2
3084,1076
3085,1068.8
3086,1060.8
3087,1106.2
3088,1146.9
3089,1150.8
3090,1127.8
3091,1085.9
3092,1096.3
3093,1169.1
3094,1101.4
3095,1055.8
3096,1011.9
3097,977.8
3098,950.1
3099,956.3
3100,982.6
3101,1030.1
3102,1148.3
3103,1254.6
3104,1274.4
3105,1279.1
3106,1186.5
3107,1193
3108,1228.9
3109,1233.7
3110,1194.8
3111,1210.3
3112,1261.8
3113,1283.9
3114,1249.8
3115,1238.4
3116,1238
3117,1208.8
3118,1196.8
3119,1152.8
3120,1106.3
3121,1050.8
3122,1027.9
3123,999.6
3124,1010.6
3125,982
3126,1058.8
3127,1181.3
3128,1212.7
3129,1202.2
3130,1189.1
3131,1182.1
3132,1180
3133,1155.5
3134,1134.8
3135,1126.4
3136,1120.4
3137,1108.3
3138,1073.9
3139,1092.6
3140,1153.3
3141,1169.9
3142,1119.5
3143,1079.6
3144,1042.8
3145,1023.9
3146,1013.4
3147,1009.1
3148,1029.3
3149,1056.1
3150,1098.6
3151,1153.8
3152,1211.3
3153,1172.7
3154,1161
3155,1141.8
3156,1116
3157,1091.9
3158,1061.2
3159,1057.8
3160,1080.5
3161,1107.7
3162,1098
3163,1128.7
3164,1199.8
3165,1216.4
3166,1147.1
3167,1079.7
3168,1034.2
3169,1004.6
3170,999.4
3171,994.7
3172,1004.7
3173,1032.1
3174,1050.6
3175,1092.6
3176,1156.8
3177,1162.7
3178,1130.9
3179,1124.9
3180,1097.4
3181,1066.6
3182,1034
3183,1030
3184,1062
3185,1074.7
3186,1083.1
3187,1078.3
3188,1169.3
3189,1190.8
3190,1110.8
3191,1018.1
3192,947.8
3193,930
3194,922.7
3195,934.4
3196,968.3
3197,1027.6
3198,1158.3
3199,1255
3200,1239.7
3201,1182.5
3202,1184.8
3203,1174.4
3204,1154.3
3205,1130.2
3206,1161.7
3207,1191.1
3208,1216.4
3209,1187.8
3210,1115
3211,1040.2
3212,1094.1
3213,1133.6
3214,1050.4
3215,984.3
3216,926.2
3217,942.4
3218,927.3
3219,928.1
3220,951.5
3221,1000.8
3222,1101.2
3223,1152.9
3224,1176.2
3225,1146.6
3226,1101.8
3227,1095.4
3228,1096.3
3229,1077.9
3230,1068.9
3231,1084.4
3232,1113.1
3233,1124.4
3234,1119.1
3235,1133.7
3236,1148.6
3237,1103.3
3238,1042.1
3239,977.8
3240,973.7
3241,949.4
3242,969.6
3243,970
3244,992.8
3245,1036
3246,1144.3
3247,1244.6
3248,1274.5
3249,1273.1
3250,1281.2
3251,1293
3252,1259.6
3253,1147.3
3254,1096.3
